,p0001,p0002,p0003,p0004,p0005,p0006,p0007,p0008,p0009,p0010,p0011,p0012,p0013,p0014
s0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s0002,0,0,1,1,0,1,1,1,1,1,1,1,1,1
s0003,0,0,0,0,0,1,1,1,1,1,1,1,1,1
s0004,0,1,0,1,1,1,1,1,1,1,1,1,1,1
s0005,0,0,0,0,0,0,0,0,0,0,0,1,1,0
s0006,0,0,0,0,0,0,0,0,0,1,0,0,1,1
s0007,0,0,0,0,0,0,0,0,0,0,0,1,1,0
s0008,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s0009,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s0010,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s0011,0,0,0,0,0,0,0,1,1,0,1,0,0,0
s0012,0,0,0,0,0,0,0,1,1,0,1,0,0,0
s0013,0,0,0,0,0,0,0,0,0,1,0,0,1,1
s0014,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s0015,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s0016,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s0017,0,0,0,0,0,0,0,0,0,1,0,0,1,1
